edad;sexo;cabeza_de_hogar;caracterizacion_ciudadano;estrato;barrio_vereda;comuna;zona;fecha_de_beneficio_dia;fecha_de_beneficio_mes;fecha_de_beneficio_año;"monto_prestado"
45;masculino;si;independiente;1;no dato;13-san javier;centro occidental;29;12;2017;200000.0
45;femenino;no;otro;3;belen las mercedes;16-belén;suroccidental;11;12;2017;200000.0
28;femenino;no;otro;3;belen la palma;16-belén;suroccidental;11;12;2017;200000.0
30;femenino;si;emprendedor;3;manrique oriental;03-manrique;nororiental;11;12;2017;200000.0
36;femenino;no;independiente;2;san javier no.1;13-san javier;centro occidental;11;12;2017;200000.0
35;femenino;no;independiente;3;la pradera;13-san javier;centro occidental;15;12;2017;300000.0
31;femenino;no;independiente;3;la pradera;13-san javier;centro occidental;15;12;2017;300000.0
32;femenino;no;independiente;3;la pradera;13-san javier;centro occidental;15;12;2017;300000.0
44;femenino;no;independiente;2;metropolitano;13-san javier;centro occidental;15;12;2017;300000.0
26;femenino;no;independiente;2;belen;16-belén;suroccidental;7;12;2017;200000.0
28;femenino;no;independiente;3;belen;16-belén;suroccidental;29;12;2017;200000.0
60;femenino;no;emprendedor;3;belen las margaritas;16-belén;suroccidental;14;12;2017;200000.0
39;femenino;si;independiente;3;san diego;10-la candelaria;centro oriental;15;12;2017;200000.0
40;femenino;si;emprendedor;2;santander;06-doce de octubre;noroccidental;7;12;2017;200000.0
31;femenino;no;emprendedor;3;castilla;05-castilla;noroccidental;7;12;2017;200000.0
34;femenino;no;emprendedor;1;castilla;05-castilla;noroccidental;7;12;2017;200000.0
34;femenino;no;independiente;2;belen;16-belén;suroccidental;15;12;2017;200000.0
19;femenino;no;independiente;2;belen;16-belén;suroccidental;14;12;2017;200000.0
32;femenino;no;independiente;2;belen;16-belén;suroccidental;14;12;2017;200000.0
20;femenino;si;emprendedor;1;manrique oriental;03-manrique;nororiental;15;12;2017;200000.0
32;femenino;si;emprendedor;1;manrique oriental;03-manrique;nororiental;15;12;2017;200000.0
45;femenino;si;emprendedor;1;manrique oriental;03-manrique;nororiental;15;12;2017;200000.0
20;femenino;no;otro;3;belen las playas;16-belén;suroccidental;14;12;2017;200000.0
61;femenino;si;independiente;2;san javier no.1;13-san javier;centro occidental;11;12;2017;200000.0
39;femenino;no;independiente;2;juan xxiii la quiebra;13-san javier;centro occidental;11;12;2017;200000.0
53;femenino;no;independiente;2;el socorro;13-san javier;centro occidental;11;12;2017;200000.0
59;femenino;no;independiente;2;antonio nariño;13-san javier;centro occidental;11;12;2017;200000.0
33;femenino;no;independiente;2;el socorro;13-san javier;centro occidental;11;12;2017;200000.0
33;femenino;no;independiente;2;calazans;13-san javier;centro occidental;11;12;2017;200000.0
38;femenino;no;otro;3;florencia;05-castilla;noroccidental;11;12;2017;200000.0
44;femenino;no;otro;2;belen;10-la candelaria;centro oriental;11;12;2017;200000.0
50;femenino;si;otro;2;manrique oriental;10-la candelaria;centro oriental;11;12;2017;200000.0
22;femenino;no;otro;2;doce de octubre no.1;10-la candelaria;centro oriental;11;12;2017;200000.0
44;femenino;no;independiente;3;metropolitano;13-san javier;centro occidental;11;12;2017;200000.0
56;femenino;no;otro;3;belen;16-belén;suroccidental;11;12;2017;200000.0
34;femenino;no;otro;3;las palmas;10-la candelaria;centro oriental;11;12;2017;200000.0
40;femenino;no;otro;3;toscana;05-castilla;noroccidental;11;12;2017;200000.0
23;femenino;no;otro;3;toscana;05-castilla;noroccidental;11;12;2017;200000.0
46;femenino;no;otro;2;toscana;05-castilla;noroccidental;11;12;2017;200000.0
50;femenino;no;otro;3;toscana;05-castilla;noroccidental;11;12;2017;200000.0
32;femenino;no;otro;3;toscana;05-castilla;noroccidental;11;12;2017;200000.0
55;femenino;no;otro;3;pedregal;06-doce de octubre;noroccidental;11;12;2017;200000.0
58;femenino;si;otro;3;pedregal;06-doce de octubre;noroccidental;11;12;2017;200000.0
40;femenino;no;otro;4;santa elena sector central;90-santa elena;corregimiento;11;12;2017;200000.0
33;femenino;no;otro;4;santa elena sector central;90-santa elena;corregimiento;11;12;2017;200000.0
38;femenino;no;otro;3;lopez de  mesa;07-robledo;noroccidental;11;12;2017;200000.0
45;femenino;si;emprendedor;3;lopez de  mesa;07-robledo;noroccidental;11;12;2017;200000.0
29;femenino;si;otro;2;belen las violetas;07-robledo;noroccidental;11;12;2017;200000.0
58;femenino;si;otro;3;girardot;05-castilla;noroccidental;28;12;2017;200000.0
25;masculino;no;otro;3;san antonio de prado;10-la candelaria;centro oriental;3;1;2018;200000.0
32;masculino;no;emprendedor;3;las palmas;06-doce de octubre;noroccidental;12;12;2017;200000.0
68;masculino;si;otro;3;florencia;05-castilla;noroccidental;12;12;2017;200000.0
67;masculino;si;emprendedor;3;los angeles;13-san javier;centro occidental;12;12;2017;200000.0
54;masculino;no;otro;3;girardot;05-castilla;noroccidental;12;12;2017;200000.0
59;femenino;si;otro;2;robledo;07-robledo;noroccidental;12;12;2017;200000.0
58;masculino;no;otro;4;estadio;12-la américa;centro occidental;12;12;2017;200000.0
55;masculino;no;otro;3;la floresta;12-la américa;centro occidental;12;12;2017;200000.0
53;femenino;no;independiente;2;metropolitano;13-san javier;centro occidental;12;12;2017;200000.0
50;femenino;no;otro;2;belencito;13-san javier;centro occidental;12;12;2017;200000.0
58;femenino;si;otro;0;laureles;12-la américa;centro occidental;12;12;2017;200000.0
37;femenino;no;emprendedor;3;calasanz parte alta;13-san javier;centro occidental;12;12;2017;200000.0
58;femenino;no;otro;1;el salado;13-san javier;centro occidental;12;12;2017;200000.0
52;femenino;no;otro;2;robledo;60-san cristobal;corregimiento;12;12;2017;200000.0
56;femenino;no;otro;2;robledo;07-robledo;noroccidental;12;12;2017;200000.0
38;femenino;no;independiente;2;san javier no.1;13-san javier;centro occidental;12;12;2017;200000.0
38;femenino;no;emprendedor;1;belencito;12-la américa;centro occidental;29;12;2017;200000.0
35;femenino;no;independiente;3;san javier no.1;13-san javier;centro occidental;12;12;2017;200000.0
51;femenino;si;otro;2;aures no.1;07-robledo;noroccidental;12;12;2017;200000.0
45;femenino;si;independiente;2;veinte de julio;13-san javier;centro occidental;12;12;2017;200000.0
44;femenino;no;emprendedor;3;calazania;13-san javier;centro occidental;12;12;2017;200000.0
41;femenino;no;otro;3;santa lucia;13-san javier;centro occidental;12;12;2017;200000.0
40;femenino;no;otro;3;robledo;07-robledo;noroccidental;12;12;2017;200000.0
39;femenino;no;otro;3;enciso;07-robledo;noroccidental;12;12;2017;200000.0
39;femenino;no;otro;2;belencito;13-san javier;centro occidental;12;12;2017;200000.0
39;femenino;no;otro;4;bosques de san pablo;07-robledo;noroccidental;12;12;2017;200000.0
33;masculino;no;otro;1;el salado;13-san javier;centro occidental;12;12;2017;200000.0
42;masculino;no;emprendedor;3;castilla;05-castilla;noroccidental;13;12;2017;200000.0
54;masculino;si;emprendedor;2;manrique oriental;03-manrique;nororiental;28;12;2017;200000.0
37;masculino;si;independiente;1;el socorro;13-san javier;centro occidental;16;1;2018;200000.0
37;masculino;no;otro;3;la floresta;12-la américa;centro occidental;13;12;2017;200000.0
57;masculino;si;emprendedor;2;la salle;03-manrique;nororiental;16;1;2018;200000.0
54;masculino;no;emprendedor;3;la floresta;12-la américa;centro occidental;13;12;2017;200000.0
54;masculino;si;independiente;2;belen;16-belén;suroccidental;13;12;2017;200000.0
54;masculino;no;emprendedor;3;santa rosa de lima;13-san javier;centro occidental;13;12;2017;200000.0
50;masculino;si;emprendedor;3;santa monica;13-san javier;centro occidental;13;12;2017;200000.0
45;femenino;si;emprendedor;2;belencito;13-san javier;centro occidental;13;12;2017;200000.0
26;femenino;si;emprendedor;2;manrique oriental;03-manrique;nororiental;15;12;2017;200000.0
56;femenino;no;otro;3;belen;16-belén;suroccidental;15;12;2017;200000.0
25;femenino;no;independiente;2;juan xxiii la quiebra;13-san javier;centro occidental;15;12;2017;200000.0
34;femenino;no;otro;4;centro administrativo;04-aranjuez;nororiental;28;12;2017;200000.0
60;femenino;si;emprendedor;3;manrique central no.2;04-aranjuez;nororiental;15;12;2017;200000.0
